,subj_id,ch_name,device,include_elec,include_inf,fif_idx,elecfile_idx,anat,short_anat,x,y,z,x_warp,y_warp,z_warp,x_inf,y_inf,z_inf,x_inf_warp,y_inf_warp,z_inf_warp,r,g,b,a,value_norm,value_native,spkr_p,mic_p
42,DC8,RMdTm76,RMdTm,False,True,42,43,ctx_rh_G_temporal_middle,MTG,52.97624490607291,-34.12653095761017,-7.712594853295542,61.493399999999994,-34.7743,-19.263000000000005,41.58791732788086,-51.06989288330078,-38.19927215576172,40.0179443359375,-49.356380462646484,-18.523345947265625,0.6492549019607843,0.3979999999999999,0.6559999999999999,1.0,0.23989035153814933,-0.51858085566805,0.359,0.101
43,DC8,RMdTm77,RMdTm,False,True,43,44,ctx_rh_G_temporal_middle,MTG,57.14839479177013,-33.18358294051444,-7.535541508988672,66.7051,-31.237399999999994,-16.173000000000002,41.79656982421875,-48.276248931884766,-38.462398529052734,39.468406677246094,-51.860836029052734,-18.689159393310547,0.9820549019607843,0.9692000000000001,0.9823999999999999,1.0,0.4375454677216597,-0.16473666297848735,0.234,0.12
44,DC8,RMdTm78,RMdTm,True,True,44,45,ctx_rh_G_temporal_middle,MTG,61.97902792962918,-33.18358294051444,-7.866401113294245,69.8324,-30.059200000000004,-17.88300000000001,42.155250549316406,-44.869544982910156,-39.61155700683594,43.25136947631836,-37.243797302246094,-28.165342330932617,0.8254431372549019,0.7003999999999999,0.8288,1.0,0.3461833903523567,-0.328293980053791,0.064,0.001
45,DC8,RInTm51,RInTm,False,True,45,46,Right-Cerebral-White-Matter,wm,40.960540701719765,-19.40929582285648,-19.86016466249953,50.2012,-17.412999999999997,-19.754999999999995,,,,38.62126922607422,-22.971141815185547,-24.08635139465332,0.41824705882352975,0.6651647058823532,0.4986823529411768,1.0,0.7035760640726002,0.3115140074525505,0.245,0.374
46,DC8,RInTm52,RInTm,False,True,46,47,Right-Cerebral-White-Matter,wm,44.22741278202983,-19.40929582285648,-19.46245924047281,57.892399999999995,-23.78,-16.507000000000005,42.310791015625,-17.77342414855957,-43.876869201660156,39.8253059387207,-32.460845947265625,-21.948875427246094,0.8573058823529411,0.9178705882352941,0.877035294117647,1.0,0.5859810066060629,0.10099414347444295,0.221,0.309
47,DC8,RInTm53,RInTm,False,True,47,48,Right-Cerebral-White-Matter,wm,48.385249975151794,-19.40929582285648,-19.46245924047281,61.1057,-25.099000000000004,-20.572000000000003,42.571292877197266,-18.82263946533203,-44.44194030761719,41.91945266723633,-41.8524169921875,-23.43210220336914,0.9951058823529411,0.9915999999999998,0.9951999999999999,1.0,0.44917672220096133,-0.14391427329961742,0.185,0.137
48,DC8,RInTm54,RInTm,False,True,48,49,ctx_rh_S_temporal_sup,STS,51.65212205546186,-19.40929582285648,-19.064753818446093,63.6798,-25.292,-22.069999999999993,43.4315071105957,-24.721641540527344,-45.556941986083984,41.25966262817383,-29.961393356323242,-26.826339721679688,1.0,1.0,1.0,1.0,0.4599457053666692,-0.12463553046748384,0.121,0.07
49,DC8,RInTm55,RInTm,True,True,49,50,ctx_rh_S_temporal_sup,STS,55.50472120067607,-18.316693809873982,-19.46245924047281,66.12780000000001,-23.102999999999994,-24.986999999999995,43.81766891479492,-24.30296516418457,-47.32025909423828,41.46889114379883,-29.168188095092773,-27.771162033081055,0.9494274509803922,0.9132,0.9503999999999999,1.0,0.42056523948896407,-0.19513483969506823,0.088,0.022
50,DC8,RInTm56,RInTm,True,True,50,51,ctx_rh_G_temporal_middle,MTG,60.09979127323345,-18.316693809873982,-19.185187022029936,67.28620000000001,-20.885000000000005,-23.383999999999986,44.10677719116211,-25.579853057861328,-48.30080795288086,45.20547103881836,-33.55318832397461,-34.619136810302734,0.8123921568627451,0.6779999999999999,0.8160000000000001,1.0,0.3386062003856838,-0.3418587423447076,0.107,0.024
51,DC8,RInTm57,RInTm,True,True,51,52,ctx_rh_G_temporal_middle,MTG,63.663651724480815,-18.316693809873982,-19.185187022029936,70.32480000000001,-15.897999999999996,-21.026999999999987,44.4404411315918,-23.543136596679688,-50.40381622314453,44.646514892578125,-29.593669891357422,-35.211917877197266,0.584,0.286,0.592,1.0,0.11389853358890667,-0.7441326853831434,0.533,0.004
52,DC8,RInTm58,RInTm,True,True,52,53,ctx_rh_G_temporal_middle,MTG,67.52450054666548,-18.316693809873982,-19.185187022029936,75.06989999999999,-14.221999999999994,-19.651999999999987,44.4404411315918,-23.543136596679688,-50.40381622314453,44.49842071533203,-26.650135040283203,-36.610572814941406,0.584,0.286,0.592,1.0,0.12006234440105953,-0.7330981687825587,0.5,0.003
53,DC8,RSpTm51,RSpTm,False,False,53,54,Right-Cerebral-White-Matter,wm,33.5018208037813,-7.227526052547688,-16.009119476212646,41.12220000000001,-0.031999999999996476,-32.007000000000005,-11.026371955871582,-4.4434380531311035,-50.29648208618164,,,,0.6377764705882353,0.7915176470588235,0.6878588235294117,1.0,0.6480297938197938,0.21207451135434482,0.248,0.349
54,DC8,RSpTm52,RSpTm,False,True,54,55,ctx_rh_S_temporal_sup,STS,36.544123525971884,-7.117752651638639,-12.955632468535583,46.519499999999994,-2.3589999999999947,-25.60900000000001,39.36762237548828,-0.11531232297420502,-42.909385681152344,39.583343505859375,-1.1585421562194824,-34.37018585205078,1.0,1.0,1.0,1.0,0.5278850143435313,-0.0030098908129809385,0.432,0.494
55,DC8,RSpTm53,RSpTm,False,True,55,56,ctx_rh_S_temporal_sup,STS,39.58642624816247,-6.605055514014239,-11.512288869873572,49.007099999999994,-0.7409999999999997,-24.217000000000013,39.20889663696289,0.7864951491355896,-41.52702331542969,39.472450256347656,0.05814439803361893,-33.45792770385742,0.9951058823529411,0.9915999999999998,0.9951999999999999,1.0,0.4458405706218384,-0.14988668567627833,0.13,0.07
56,DC8,RSpTm54,RSpTm,False,True,56,57,ctx_rh_S_temporal_sup,STS,43.03165270706842,-5.085049034601425,-10.068945271211561,52.617900000000006,1.842000000000013,-22.141999999999996,39.26759719848633,0.8003153204917908,-38.91990280151367,39.572105407714844,3.9764597415924072,-32.60914611816406,0.9890235294117647,0.9936823529411765,0.9905411764705883,1.0,0.5532105554522356,0.04232814961353555,0.223,0.265
57,DC8,RSpTm55,RSpTm,False,True,57,58,ctx_rh_S_temporal_sup,STS,46.49725386279971,-4.572351896977025,-7.903929873218544,55.44799999999999,2.2210000000000036,-18.935000000000002,39.574859619140625,-0.2317352294921875,-36.6718635559082,40.04526901245117,2.0485658645629883,-29.929771423339844,0.6816823529411764,0.8167882352941177,0.7256941176470588,1.0,0.6346340878674385,0.18809338276156326,0.234,0.362
58,DC8,RSpTm56,RSpTm,False,True,58,59,ctx_rh_S_temporal_sup,STS,49.116258151449586,-3.65673102263726,-6.538200710281529,57.9674,2.673000000000002,-16.974999999999994,39.656768798828125,-0.6529537439346313,-35.33370590209961,40.738319396972656,-1.0589531660079956,-26.391965866088867,0.6377764705882353,0.7915176470588235,0.6878588235294117,1.0,0.6477777701154305,0.2116233359639428,0.083,0.198
